Pool name, Weekday, Time period, Start time, End time, Note
North Beach,Tuesday,Afternoon,3:30PM,5:00PM,Family Swim
North Beach,Wednesday,Morning,9:00AM,10:30AM,Parent Child Swim
North Beach,Thursday,Afternoon,2:15PM,3:15PM,Family Swim
North Beach,Thursday,Afternoon,4:15PM,5:30PM,Family Swim
North Beach,Friday,Morning,9:00AM,10:30AM,Parent Child Swim
North Beach,Friday,Evening,5:30PM,7:00PM,Family Swim
North Beach,Saturday,Afternoon,12:00PM,1:15PM,Family Swim
North Beach,Saturday,Afternoon,1:45PM,3:00PM,Family Swim
Hamilton,Tuesday,Morning,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Tuesday,Morning,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton,Tuesday,Afternoon,1:30PM,3:00PM,Family Swim
Hamilton,Tuesday,Afternoon,1:30PM,3:00PM,Family Swim in Small Pool
Hamilton,Wednesday,Morning,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton,Wednesday,Morning,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Wednesday,Morning,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton,Wednesday,Afternoon,1:30PM,3:30PM,Family Swim
Hamilton,Wednesday,Afternoon,1:30PM,3:30PM,Family Swim in Small Pool
Hamilton,Wednesday,Evening,6:30PM,8:00PM,Family Swim in Small Pool
Hamilton,Thursday,Morning,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Friday,Morning,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton,Friday,Morning,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton,Friday,Morning,11:30AM,1:00PM,Family Swim in Small Pool
Hamilton,Friday,Afternoon,11:30AM,1:00PM,Family Swim in Small Pool
Hamilton,Friday,Afternoon,1:30PM,3:30PM,Family Swim
Hamilton,Friday,Afternoon,1:30PM,3:30PM,Family Swim in Small Pool
Hamilton,Friday,Evening,6:30PM,8:00PM,Family Swim
Hamilton,Saturday,Morning,9:00AM,10:30AM,Family Swim in Small Pool
Hamilton,Saturday,Afternoon,1:30PM,3:30PM,Family Swim
Hamilton,Saturday,Afternoon,4:00PM,5:00PM,Family Swim in Small Pool
Rossi,Monday,Morning,9:00AM,11:00AM,Parent Child Swim
Rossi,Tuesday,Morning,10:15AM,11:15AM,Family Swim
Rossi,Wednesday,Afternoon,2:00PM,3:30PM,Family Swim
Rossi,Thursday,Evening,6:30PM,7:30PM,Family Swim
Rossi,Sunday,Morning,9:30AM,11:00AM,Parent Child Swim
Rossi,Sunday,Afternoon,12:30PM,2:00PM,Family Swim
Rossi,Sunday,Afternoon,2:30PM,3:30PM,Family Swim
Mission,Tuesday,Morning,9:30AM,10:45AM,Parent Child Swim
Mission,Tuesday,Afternoon,4:00PM,5:00PM,Family Swim
Mission,Wednesday,Afternoon,2:30PM,3:45PM,Family Swim
Mission,Thursday,Morning,9:30AM,10:45AM,Parent Child Swim
Mission,Thursday,Afternoon,3:00PM,5:00PM,Family Swim
Mission,Friday,Afternoon,2:30PM,3:45PM,Family Swim
Mission,Saturday,Morning,10:45AM,12:00PM,Family Swim
Mission,Saturday,Afternoon,1:30PM,3:00PM,Family Swim
Garfield,Monday,Morning,7:00AM,8:45AM,Parent Child Swim
Garfield,Monday,Morning,11:00AM,1:00PM,Parent Child Swim
Garfield,Monday,Afternoon,11:00AM,1:00PM,Parent Child Swim
Garfield,Monday,Afternoon,2:00PM,3:30PM,Family Swim
Garfield,Monday,Afternoon,4:00PM,6:00PM,Family Swim
Garfield,Monday,Evening,4:00PM,6:00PM,Family Swim
Garfield,Tuesday,Afternoon,1:00PM,2:00PM,Parent Child Swim
Garfield,Tuesday,Afternoon,2:30PM,3:30PM,Family Swim
Garfield,Wednesday,Morning,7:00AM,8:45AM,Parent Child Swim
Garfield,Wednesday,Afternoon,1:00PM,2:00PM,Parent Child Swim
Garfield,Wednesday,Afternoon,2:30PM,3:30PM,Parent Child Swim
Garfield,Wednesday,Afternoon,4:30PM,7:00PM,Parent Child Swim
Garfield,Wednesday,Evening,4:30PM,7:00PM,Parent Child Swim
Garfield,Thursday,Afternoon,2:30PM,3:30PM,Family Swim
Garfield,Thursday,Afternoon,4:30PM,7:00PM,Parent Child Swim
Garfield,Thursday,Evening,4:30PM,7:00PM,Parent Child Swim
Garfield,Sunday,Afternoon,12:15PM,2:00PM,Family Swim
Garfield,Sunday,Afternoon,2:30PM,4:00PM,Family Swim
Sava,Tuesday,Afternoon,3:30PM,5:00PM,Family Swim
Sava,Wednesday,Afternoon,2:30PM,3:30PM,Family Swim
Sava,Thursday,Afternoon,2:30PM,5:00PM,Family Swim
Sava,Friday,Evening,5:30PM,7:00PM,Family Swim
Sava,Saturday,Morning,11:30AM,1:00PM,Family Swim
Sava,Saturday,Afternoon,11:30AM,1:00PM,Family Swim
Sava,Saturday,Afternoon,1:30PM,3:00PM,Family Swim
Balboa,Tuesday,Morning,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa,Tuesday,Morning,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa,Tuesday,Afternoon,12:30PM,2:00PM,Parent Child Swim on Steps
Balboa,Tuesday,Afternoon,12:30PM,2:00PM,Parent Child Swim on Steps
Balboa,Tuesday,Afternoon,2:30PM,3:30PM,Family Swim
Balboa,Tuesday,Afternoon,2:30PM,3:30PM,Family Swim
Balboa,Tuesday,Afternoon,2:30PM,4:00PM,Parent Child Swim on Steps
Balboa,Tuesday,Afternoon,2:30PM,4:00PM,Parent Child Swim on Steps
Balboa,Wednesday,Morning,9:00AM,10:15AM,Parent Child Swim on Steps
Balboa,Wednesday,Morning,9:00AM,10:15AM,Parent Child Swim on Steps
Balboa,Wednesday,Afternoon,2:00PM,3:00PM,Parent Child Swim on Steps
Balboa,Wednesday,Afternoon,2:00PM,3:00PM,Parent Child Swim on Steps
Balboa,Thursday,Morning,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa,Thursday,Morning,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa,Thursday,Afternoon,2:30PM,4:00PM,Family Swim
Balboa,Thursday,Afternoon,2:30PM,4:00PM,Parent Child Swim on Steps
Balboa,Thursday,Afternoon,2:30PM,5:00PM,Parent Child Swim on Steps
Balboa,Thursday,Evening,5:45PM,7:00PM,Family Swim
Balboa,Friday,Afternoon,1:30PM,3:00PM,Parent Child Swim on Steps
Balboa,Friday,Afternoon,1:30PM,3:00PM,Parent Child Swim on Steps
Balboa,Saturday,Morning,9:00AM,10:30AM,Parent Child Swim on Steps
Balboa,Saturday,Morning,9:00AM,10:30AM,Parent Child Swim on Steps
Balboa,Saturday,Afternoon,12:30PM,2:00PM,Family Swim
Balboa,Saturday,Afternoon,12:30PM,2:00PM,Family Swim
Balboa,Saturday,Afternoon,2:30PM,3:30PM,Family Swim
Balboa,Saturday,Afternoon,2:30PM,3:30PM,Family Swim
Balboa,Saturday,Afternoon,4:00PM,5:00PM,Parent Child Swim on Steps
Balboa,Saturday,Afternoon,4:00PM,5:00PM,Parent Child Swim on Steps
Martin Luther King Jr,Tuesday,Afternoon,2:15PM,3:15PM,Family Swim
Martin Luther King Jr,Wednesday,Afternoon,2:15PM,3:15PM,Family Swim
Martin Luther King Jr,Friday,Afternoon,2:15PM,3:15PM,Family Swim
Martin Luther King Jr,Saturday,Afternoon,2:00PM,3:30PM,Family Swim
Coffman,Tuesday,Afternoon,2:00PM,4:00PM,Family Swim
Coffman,Wednesday,Afternoon,1:30PM,2:30PM,Family Swim
Coffman,Wednesday,Evening,5:45PM,7:00PM,Family Swim
Coffman,Thursday,Afternoon,1:00PM,3:00PM,Family Swim
Coffman,Friday,Afternoon,2:00PM,3:00PM,Family Swim
Coffman,Saturday,Afternoon,1:00PM,2:00PM,Family Swim
Coffman,Saturday,Afternoon,2:15PM,3:45PM,Family Swim
